category,hint,answer,value,jtype,media,DD,date,game_name,correct,subjects,date_answered
WORLD AIRPORTS,"This city's international airport opened in 1942, just in time to be the destination of a flight at the end of a movi",Lisbon,0,0,False,False,2024-11-29,Show #9215,,,
"""LAND"" HO! -- Ken: Countries with ""land"" in their names",The Red Cross was founded there in 1863 & its international headquarters is there today,Switzerland,200,1,False,True,2024-11-29,Show #9215,,,
"""LAND"" HO! -- Ken: Countries with ""land"" in their names",One-third of its territory lies within the Arctic Circle,Finland,400,1,False,False,2024-11-29,Show #9215,,,
"""LAND"" HO! -- Ken: Countries with ""land"" in their names","In its Waikato region, you can tour the Hobbiton movie set",New Zealand,600,1,False,False,2024-11-29,Show #9215,,,
"""LAND"" HO! -- Ken: Countries with ""land"" in their names","It's named for a Slavic tribe whose name means ""people of the fields"" & who began living there more than 1,000 years ago",Poland,800,1,False,False,2024-11-29,Show #9215,,,
"""LAND"" HO! -- Ken: Countries with ""land"" in their names","On its national flag, red represents the people, white is for religion & blue stands for the monarchy",Thailand,1000,1,True,False,2024-11-29,Show #9215,,,
8-LETTER WORDS,"If you've cemented your plans & they are set in stone, they may also be described as this, a hard building material",concrete,200,1,False,False,2024-11-29,Show #9215,,,
8-LETTER WORDS,Hard container of albumen & yolk,eggshell,400,1,False,False,2024-11-29,Show #9215,,,
8-LETTER WORDS,"It pairs with ""hunter"" to describe a person who forages for food",gatherer,600,1,False,False,2024-11-29,Show #9215,,,
8-LETTER WORDS,Latinate noun for the world of teachers & educators,academia (pedagogy),800,1,False,True,2024-11-29,Show #9215,,,
8-LETTER WORDS,"On a big sailing ship, it's the principal spar located between the fore & mizzen ones",the mainmast,1000,1,False,False,2024-11-29,Show #9215,,,
ANTIQUES & COLLECTIBLES,"If a purported rare 1943 copper one of these sticks to a magnet, it's likely a fake made from the common zinc-steel version",pennies,200,1,False,False,2024-11-29,Show #9215,,,
ANTIQUES & COLLECTIBLES,"The records played at this rpm, the standard format from the early 1900s into the 1950s, were mostly made of shellac, not vinyl",78,400,1,False,False,2024-11-29,Show #9215,,,
ANTIQUES & COLLECTIBLES,"Gwen Stacy dies in issue 121 of this superhero's comic, & if you want to read an original, prepare to pay",Spider-Man,600,1,False,False,2024-11-29,Show #9215,,,
ANTIQUES & COLLECTIBLES,Some U.S. airmail stamps of the 1930s depicted these transatlantic craft & were for use only on the mail they carried,zeppelin,800,1,False,False,2024-11-29,Show #9215,,,
ANTIQUES & COLLECTIBLES,"We're not asking you to dance & strip, just to name the furniture style of this 1700s English cabinetmaker. OK, now dance & strip!",Chippendale,1000,1,False,False,2024-11-29,Show #9215,,,
BOOKS FOR YOUNGER READERS,"As Carolyn Keene, Mildred Benson wrote ""The Hidden Staircase"" & ""The Bungalow Mystery"" featuring this teen detective",Nancy Drew,200,1,False,False,2024-11-29,Show #9215,,,
BOOKS FOR YOUNGER READERS,Harry Potter's snowy white owl has this name,Hedwig,400,1,False,False,2024-11-29,Show #9215,,,
